Timestamp,What country do you work in?,Where is the closest major city or hub?,Where are you located?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,What degrees do you have?,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity/Stock Option,Compensation - Most recent annual yearly raise (%),Compensation - Sign on Bonus Value,Compensation - Sign on Stock/Equity Options,Compensation - Retirement Benefits (free text),Compensation - Retirement Percent Match (free text),Compensation - Healthcare Benefits (free text),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review,"[Optional] Work Life Balance - On average, how many hours do you work per week",Survey Feedback
2024-01-04T15:43:05Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,9,160000,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-04T15:45:16Z,NA,NA,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Eli Lilly,Public,5000+,,Masters or Equivalent,None,NA,6,89000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-04T16:41:43Z,NA,NA,"Pharma Central (NY, NJ, PA)",Medical/Health Devices,Prefer not to say,Public,50-200,,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,"Handle molecular/DNA processes, including cloning and sequencing. Manage 2+ interns/junior staff",7,98000,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-04T19:22:51Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,12,200000,,,,,NA,,,NA,,,,Less than 30,NA
2024-01-04T19:54:24Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Moderna,Private,1000-5000,,"High School or Equivalent, Bachelors or Equivalent",None,Conduct routine analysis and conduct experiments for process development,1,80000,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-04T22:34:52Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,50-200,,Masters or Equivalent,None,NA,6,138000,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-05T07:52:07Z,NA,NA,india,Biotech Equipment,Prefer not to say,Private,200-1000,,Bachelors or Equivalent,None,upstream production,1,15000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-05T13:02:35Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,5,150000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-05T13:42:33Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,9,140000,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-05T15:06:22Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Moderna,Public,1000-5000,,Masters or Equivalent,LSS,Analytical Technical Operations midleman between QC and PD,4,90000,,,,,7500,,,NA,,,,36 - 40,NA
2024-01-05T16:32:34Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,None,NA,15,270000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-05T17:27:34Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Diagnostics,Prefer not to say,Private,50-200,,"Bachelors or Equivalent, Masters or Equivalent",None,"Manage all Digital, Data, and IT systems for the company",32,300000,,,,,10000,,,NA,,,,41 - 45,NA
2024-01-05T22:54:13Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Gsk,Public,5000+,,Masters or Equivalent,Pmp,NA,8,112000,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-05T23:12:52Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,"Downstream monoclonal antibody manufacturing technitian, UFDF and chromatography",6,100000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-06T01:10:29Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Private,5000+,,PhD or Equivalent,None,Associate Director leading early target discovery and validation efforts,11,230000,,,,,10000,,,NA,,,,30 - 35,NA
2024-01-06T09:42:28Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,Sr. Scientist - organic chemistry,3,175000,,,,,0,,,NA,,,,Less than 30,NA
2024-01-06T11:09:04Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,NA,9,189000,,,,,50000,,,NA,,,,30 - 35,NA
2024-01-06T11:51:03Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,6,74000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-06T14:58:57Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,None,Upstream manufacturing associate.  Individual contributor,10,103000,,,,,3000,,,NA,,,,36 - 40,NA
2024-01-06T21:53:03Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Takeda,Public,5000+,,Bachelors or Equivalent,None,"Test manufacturing samples to ensure CQAs met. Perform method transfers, validations, author deviations, draft SOP revisions, etc",3,75000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-07T00:13:35Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,Similar to MSAT position. Upstream and Downstream,4,103000,,,,,3500,,,NA,,,,41 - 45,NA
2024-01-07T09:57:36Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Regional Regulatory Lead,5,160000,,,,,35000,,,NA,,,,NA,NA
2024-01-07T10:25:32Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Government,FDA,Government,5000+,,PhD or Equivalent,None,Reviewer in CBER,5,166500,,,,,NA,,,NA,,,,51 - 60,NA
2024-01-07T10:36:19Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Private,5000+,,Bachelors or Equivalent,None,NA,3,91000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-07T14:21:46Z,NA,NA,United Kingdom and Ireland,Agriculture,Prefer not to say,Private,5000+,,PhD or Equivalent,None,NA,8,64000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-08T00:02:01Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,,Masters or Equivalent,None,NA,4,105400,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-08T00:32:37Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,15,200000,,,,,100000,,,NA,,,,51 - 60,NA
2024-01-08T23:22:40Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Big Pharmaceuticals,Recursion Pharmaceuticals,Public,200-1000,,PhD or Equivalent,None,NA,4,104000,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-09T01:59:39Z,NA,NA,United Kingdom and Ireland,Big Pharmaceuticals,GSK,Public,5000+,,PhD or Equivalent,None,NA,15,185000,,,,,45000,,,NA,,,,NA,Survey doesn't specify currency for salary. Have converted to USD.
2024-01-09T15:13:10Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Private,5000+,,"Bachelors or Equivalent, Masters or Equivalent, MD or Equivalent",None,NA,7,260000,,,,,45000,,,NA,,,,36 - 40,NA
2024-01-09T19:55:51Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,GSK,Public,5000+,,Bachelors or Equivalent,None,Manage upstream manufacturing,3,100000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-10T08:31:57Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,Commercial,17,227000,,,,,10000,,,NA,,,,46 - 50,NA
2024-01-10T18:38:56Z,NA,NA,United Kingdom and Ireland,Big Pharmaceuticals,AZ,Public,5000+,,PhD or Equivalent,None,NA,10,54000,,,,,NA,,,NA,,,,NA,NA
2024-01-10T19:56:44Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Contract Manufacturing Organization,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,LSSGB,NA,4,55750,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-10T22:14:31Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Abbvie,Public,5000+,,Bachelors or Equivalent,None,NA,6,118000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-11T08:57:19Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,NA,7,210000,,,,,50000,,,NA,,,,46 - 50,NA
2024-01-11T10:13:10Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Contract Manufacturing Organization,Prefer not to say,Private,1000-5000,,PhD or Equivalent,None,Associate Director - Process Development,9,180000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-11T13:55:59Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,GSK,Public,5000+,,Bachelors or Equivalent,None,NA,8,125000,,,,,NA,,,NA,,,,NA,NA
2024-01-11T17:07:27Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,4,130000,,,,,NA,,,NA,,,,51 - 60,NA
2024-01-11T17:53:05Z,NA,NA,United Kingdom and Ireland,Big Pharmaceuticals,GSK,Public,5000+,,PhD or Equivalent,None,Analytical Development for mAb Discovery,4,43458,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-11T21:40:10Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Takeda,Public,5000+,,PhD or Equivalent,None,NA,3,160000,,,,,10000,,,NA,,,,41 - 45,NA
2024-01-12T00:25:09Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Private,200-1000,,Bachelors or Equivalent,None,NA,0,80000,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-12T10:23:40Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,2,117500,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-12T13:19:05Z,NA,NA,Canada,Software,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,2,87000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-12T17:35:29Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,1000-5000,,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,Sr. Scientist PharmSci,4,145000,,,,,20000,,,NA,,,,41 - 45,NA
2024-01-13T01:11:02Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,50-200,,Masters or Equivalent,None,"Support budget alignment, procurement, and resourcing",9,153920,,,,,10000,,,NA,,,,51 - 60,NA
2024-01-13T03:46:27Z,NA,NA,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Start-up,1-50,,"Bachelors or Equivalent, Masters or Equivalent",None,Lead software engineering department,12,230000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-13T08:51:17Z,NA,NA,"Midwest (From OH to KS, North to ND)",Contract Manufacturing Organization,Prefer not to say,Private,50-200,,Masters or Equivalent,None,PD,8,95000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-13T10:34:57Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,"Bachelors or Equivalent, PhD or Equivalent",None,NA,7,182000,,,,,30000,,,NA,,,,41 - 45,"Thank you for organizing this survey!  Even with the free form answers and it taking some time to browse through the data when compiled, it is very helpful.  Very interesting to see the graphs that show salary go up by education.  You don't *need* a PhD to have top 10% salary, but if you *do* have top 10% base salary, you probably have a PhD or MD."
2024-01-13T12:17:04Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,JnJ,Public,5000+,,PhD or Equivalent,None,NA,0,125000,,,,,25000,,,NA,,,,41 - 45,NA
2024-01-13T20:01:13Z,NA,NA,"Midwest (From OH to KS, North to ND)",Agriculture,Prefer not to say,Subsidiary,200-1000,,Bachelors or Equivalent,None,Bench molecular biologist,3,54000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-13T20:33:28Z,NA,NA,West Coast (California & Pacific Northwest),Academia/Research/Institution,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,NA,10,135000,,,,,10000,,,NA,,,,30 - 35,NA
2024-01-13T21:02:56Z,NA,NA,"Midwest (From OH to KS, North to ND)",Contract Manufacturing Organization,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,2,80000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-13T21:09:29Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Merck,Public,5000+,,Masters or Equivalent,None,Data science role,18,154000,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-13T21:10:10Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,Scientist immunology ex vivo pre-clinical,14,126,,,,,5000,,,NA,,,,41 - 45,NA
2024-01-13T23:04:33Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,9,260000,,,,,NA,,,NA,,,,46 - 50,NA
2024-01-14T00:29:27Z,NA,NA,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Prefer not to say,Private,5000+,,"High School or Equivalent, Bachelors or Equivalent",None,NA,8,85000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-14T05:19:27Z,NA,NA,West Coast (California & Pacific Northwest),Food,Prefer not to say,Public,200-1000,,Masters or Equivalent,None,Manage group,15,180000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-14T06:08:25Z,NA,NA,NA,Food,Prefer not to say,Public,NA,,PhD or Equivalent,None,NA,1,1,,,,,NA,,,NA,,,,NA,NA
2024-01-14T09:41:52Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,GSK,Public,5000+,,Bachelors or Equivalent,None,Associate in a leadership development course,1,82000,,,,,5000,,,NA,,,,30 - 35,None really
2024-01-14T10:43:28Z,NA,NA,"Other US Location (HI, AK, PR, etc.)",Medical/Health Devices,Prefer not to say,Private,50-200,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent",CTBS,"Since my company’s R&D is very small, I do a couple things but my major responsibilities are: assay development for biologics (design, optimize and validate assays to assess product potency and release) as well as process development for drug products in clinical trials.",6,73809.1,,,,,0,,,NA,,,,30 - 35,NA
2024-01-14T12:28:26Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,NA,0,78000,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-14T12:31:18Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,"Scientist II - Drig discovery, assay development",3,120000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-14T13:22:33Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,50-200,,PhD or Equivalent,None,NA,9,170000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-14T13:26:57Z,NA,NA,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,3,92000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-14T16:16:13Z,NA,NA,CO,Drug Discovery Startup,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,2,97000,,,,,0,,,NA,,,,41 - 45,NA
2024-01-14T16:41:32Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Big Pharmaceuticals,Pfizer,Public,5000+,,PhD or Equivalent,None,"R&D, no direct reports currently",4,112000,,,,,15000,,,NA,,,,51 - 60,Clarify whether or not experience includes grad school (for PhDs)
2024-01-14T20:00:02Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Sr. Scientist II - Drive lab-based early stage oncology R&D. Manage 1 non-PhD and 1 PhD-level report.,6,156000,,,,,25000,,,NA,,,,41 - 45,NA
2024-01-14T21:08:07Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,MD or Equivalent,None,NA,10,350000,,,,,NA,,,NA,,,,60+,NA
2024-01-15T21:07:41Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Contract Manufacturing Organization,Prefer not to say,Start-up,50-200,,Masters or Equivalent,None,NA,3,66150,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-15T22:31:47Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Assay development,3,130000,,,,,5000,,,NA,,,,36 - 40,NA
2024-01-15T22:44:30Z,NA,NA,West Coast (California & Pacific Northwest),Small biopharma?,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,Negotiate formulary and coverage for our drug,9,250000,,,,,NA,,,NA,,,,Less than 30,NA
2024-01-16T09:47:31Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,9,160000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-16T10:04:26Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Private,200-1000,,Bachelors or Equivalent,None,"QC Manager - Onboard assays for transfer and qualification from clients, provide SME expertise on assays, manage schedule and other aspects of QC testing.",10,140000,,,,,0,,,NA,,,,41 - 45,Great idea! Glad this crowdsourced info can be made available as Glassdoor and others are unreliable.
2024-01-16T10:30:00Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Thermo Fisher,Public,5000+,,Bachelors or Equivalent,None,Hybrid role remotely selling life science products and equipment to customers out of state,2,81000,,,,,0,,,NA,,,,41 - 45,Add vendor/supplier sales as an option
2024-01-16T10:30:52Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Start-up,50-200,,Masters or Equivalent,None,NA,15,115000,,,,,10000,,,NA,,,,36 - 40,NA
2024-01-16T10:39:45Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Gilead,Public,5000+,,Bachelors or Equivalent,None,"Analytical chemistry/biology, performing lab work and writing reports",7,103000,,,,,10000,,,NA,,,,NA,NA
2024-01-16T11:11:02Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Start-up,50-200,,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",None,NA,3,135000,,,,,5000,,,NA,,,,41 - 45,NA
2024-01-16T11:19:33Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Merck,Public,5000+,,Masters or Equivalent,None,Scientist overseeing and optimizing DNA cloning workflows and incorporating automation into our antibody discovery platform,7,115000,,,,,10000,,,NA,,,,36 - 40,NA
2024-01-16T11:57:56Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Diagnostics,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,Senior RA - R&D assay development,3,83000,,,,,2000,,,NA,,,,41 - 45,NA
2024-01-16T12:04:03Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,Associate Scientist II - In vivo pharmacology,8,120000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-16T12:45:00Z,NA,NA,United Kingdom and Ireland,Medical/Health Devices,QIAGEN,Private,5000+,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,NA,1,21450,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-16T12:52:23Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,200-1000,,Bachelors or Equivalent,None,Sr. Research associate - develop assays for clients using company specific technology.,4,78000,,,,,5000,,,NA,,,,41 - 45,NA
2024-01-16T13:02:11Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Merck & Co.,Public,5000+,,PhD or Equivalent,None,"Associate Principal Scientist - Responsible for developing LC-MS based bioanalytical assays to support pre-clinical and clinical studies for delivery of robust, high quality data packages  • Drive the implementation of novel LC-MS based bioanalytical strategies for the measurement and characterization of drug and metabolites in biological samples • Contribute to departmental strategy and capital investment discussions.",5,154550,,,,,NA,,,NA,,,,51 - 60,NA
2024-01-16T13:06:13Z,NA,NA,Sweden,Contract Manufacturing Organization,Prefer not to say,Private,200-1000,,PhD or Equivalent,None,Managing analytical methods and representing division to customers and internally,1,46000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-16T13:13:49Z,NA,NA,United Kingdom and Ireland,Big Pharmaceuticals,Prefer not to say,Private,200-1000,,Bachelors or Equivalent,None,QC Specialist for a finished product chemistry laboratory. Responsible for method transfer and validation.,9,64000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-16T13:36:55Z,NA,NA,United Kingdom and Ireland,Academia/Research/Institution,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,4,32000,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-16T14:34:45Z,NA,NA,"Carolinas & Southeast (From NC to AR, South FL and LA)",Medical/Health Devices,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,NA,1,88000,,,,,0,,,NA,,,,46 - 50,NA
2024-01-16T14:44:03Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,"Bioprocess Engineer - run fermentations, downstream processing, and purification of industrial enzymes. also manage scale-up and tech transfer.",4,95000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-16T15:49:39Z,NA,NA,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Regeneron Pharmaceuticals,Public,5000+,,Bachelors or Equivalent,None,QC Analyst- QC LC method development,2,64521.6,,,,,4000,,,NA,,,,41 - 45,NA
2024-01-16T16:02:52Z,NA,NA,"Midwest (From OH to KS, North to ND)",Contract Research Organization,Prefer not to say,Private,1000-5000,,Bachelors or Equivalent,None,NA,7,67000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-16T16:08:59Z,NA,NA,Germany,Academia/Research/Institution,Max Planck Institute,Academia/College/Universities,200-1000,,PhD or Equivalent,None,NA,4,70000,,,,,NA,,,NA,,,,NA,NA
2024-01-16T16:31:34Z,NA,NA,United Kingdom and Ireland,Medical/Health Devices,Health and Social Care Northern Ireland,Government,5000+,,Bachelors or Equivalent,HCPC registration,NA,1,27055,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-16T16:39:35Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Abbvie,Public,5000+,,Bachelors or Equivalent,None,Immuno-oncology research in target discovery,9,138000,,,,,5000,,,NA,,,,36 - 40,NA
2024-01-16T17:28:40Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,"Protein purification, nonmanagment",6,90300,,,,,0,,,NA,,,,36 - 40,NA
2024-01-16T18:06:26Z,NA,NA,West Coast (California & Pacific Northwest),Contract Manufacturing Organization,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,Supplier Quality / Quality Systems,2,80000,,,,,0,,,NA,,,,Less than 30,NA
2024-01-16T20:52:18Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Private,5000+,,PhD or Equivalent,None,Lead group of 45 people,32,267000,,,,,150000,,,NA,,,,46 - 50,Great
2024-01-16T21:41:49Z,NA,NA,Canada,Contract Research Organization,Prefer not to say,Private,50-200,,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,Sr. scientist - Team Lead and SME. Some managerial responsibilities. Team representative.,9,100000,,,,,0,,,NA,,,,36 - 40,Great
2024-01-16T21:53:01Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Bristol Myers Squibb,Public,5000+,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,NA,7,101000,,,,,NA,,,NA,,,,NA,NA
2024-01-16T22:04:57Z,NA,NA,"Midwest (From OH to KS, North to ND)",Contract Research Organization,Thermo Fisher,Public,5000+,,"High School or Equivalent, Bachelors or Equivalent",None,NA,6,83000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-16T22:48:35Z,NA,NA,"Midwest (From OH to KS, North to ND)",Contract Research Organization,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,PMP,NA,20,90000,,,,,NA,,,NA,,,,NA,NA
2024-01-16T22:58:48Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Medical/Health Devices,Thermo Fisher Scientific,Public,5000+,,PhD or Equivalent,None,Scientist - ran studies and prepared reports and slides,8,85000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-16T23:49:11Z,NA,NA,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,None,NA,18,170000,,,,,NA,,,NA,,,,51 - 60,NA
2024-01-17T01:30:18Z,NA,NA,"Carolinas & Southeast (From NC to AR, South FL and LA)",Big Pharmaceuticals,Pfizer,Public,5000+,,Masters or Equivalent,None,manufacturing lab support leading other junior scientists.,13,150000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-17T01:37:49Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Private,50-200,,High School or Equivalent,None,Procurement,10,62000,,,,,0,,,NA,,,,51 - 60,NA
2024-01-17T07:37:16Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Sanofi,Public,5000+,,Bachelors or Equivalent,None,NA,9,92000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-17T12:41:11Z,NA,NA,"Pharma Central (NY, NJ, PA)",Food,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,Individual contributor at senior scientist level,7,131000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-17T19:59:50Z,NA,NA,West Coast (California & Pacific Northwest),Cell & Gene Therapy Materials,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,"Sr. Project Manager - Manage revenue, project timeline and deliverables for 10-20 clients. Work with SME to execute MSA, SOW, and additional relevant documentation.",6,110000,,,,,NA,,,NA,,,,30 - 35,NA
