Timestamp,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value,What country do you work in?,Compensation - Overtime Pay,[Optional] Company Review,[Optional] Briefly describe your position,List other relevant and recognized certifications,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Stock Options,Compensation - Most recent annual yearly raise (%),Compensation - Options,Have you one a post-doc?
6/2/2022 12:52:28,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior Research Associate,Masters or Equivalent,0,90000,9000,Not Applicable/None,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/2/2022 14:45:04,"Boston, MA",Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Senior Scientist,PhD or Equivalent,4,150000,15%,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/2/2022 15:17:44,Athens,bioplastics,NA,Start-up,200-1000,Bioprocesses Technician,High School or Equivalent,0,45697.6,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/2/2022 23:06:50,Bay Area,Biotech,NA,Private,50-200,Sr. Research Associate,Bachelors or Equivalent,4,103000,8% bonus,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/3/2022 10:03:12,San Francisco,synbio,NA,Start-up,200-1000,Research Associate 1,Bachelors or Equivalent,3,78000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/3/2022 15:04:25,Boston,Pharmaceutical (including “big pharma”),Resilience,Private,1000-5000,Associate Director,PhD or Equivalent,7,170000,17000,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/3/2022 15:23:43,"Boston, MA",Pharmaceutical (including “big pharma”),NA,Public,50-200,"Associate Director, Scientific Communications",PhD or Equivalent,7,165000,"33,000",68970,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/3/2022 21:52:38,Seattle but I work remotely from FL,Academia/Research,NA,Public,200-1000,Intern,Masters or Equivalent,2,60000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/4/2022 1:23:25,San Diego,Pharmaceutical (including “big pharma”),ImmunityBio,Public,NA,Purchasing Assistant,Bachelors or Equivalent,1,65000,5000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/4/2022 17:37:29,San Diego,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Sr Scientist/Manager,PhD or Equivalent,6,145000,15%,Not Applicable/None,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/5/2022 0:56:34,Boston,Biotechnology,NA,Start-up,1-50,Sr. Scientist,PhD or Equivalent,6,160000,24000,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/5/2022 1:09:49,Bay area,Animal Health,NA,Public,5000+,Scientist,PhD or Equivalent,0,120000,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/5/2022 10:10:28,Bay Area,Pharmaceutical (including “big pharma”),NA,Private,50-200,Senior Scientist I,Bachelors or Equivalent,9,140000,16800,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/5/2022 15:36:36,Philadelphia,Academia/Research,Century Therapeutics,Public,50-200,Research Associate,Bachelors or Equivalent,1,95000,4750,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/5/2022 23:04:55,Boston,Biologics,NA,Public,200-1000,Associate scientist,Masters or Equivalent,0,95000,9500,3000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/6/2022 14:26:25,Bay Area - Mid Penninsula,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Senior Research Associate 1,Masters or Equivalent,4,98000,9800,yes,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/6/2022 14:34:05,Cambridge UK,Sequencing/Genetic Analysis,NA,Public,5000+,Data Steward I,Bachelors or Equivalent,1,35700,1800,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/6/2022 20:10:17,U.K.,Academia/Research,NA,Academia/College/Universities,5000+,Research Associate,PhD or Equivalent,18,31400,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/6/2022 22:00:11,Seattle,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Private,5000+,Senior research associate,Bachelors or Equivalent,1,85000,5000,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/6/2022 23:09:15,Boston,Academia/Research,Dana farber Cancer institute,Academia/College/Universities,5000+,Research fellow,PhD or Equivalent,4,64000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2022 16:11:47,Bay Area,Pharmaceutical (including “big pharma”),Genentech,Private,1000-5000,Scientist I,PhD or Equivalent,0,130000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2022 16:33:42,San Francisco,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Quality Sr Associate,Bachelors or Equivalent,8,120000,15000,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2022 18:45:47,Seattle,Pharmaceutical (including “big pharma”),BMS,Public,5000+,Scientist,Masters or Equivalent,6,123000,12300,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2022 22:25:31,New Jersey,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior Scientist,PhD or Equivalent,6,130000,16900,Not Applicable/None,5000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2022 22:29:56,Minnesota,Academia/Research,NA,Private,5000+,Clinical lab tech,Bachelors or Equivalent,3,68500,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/10/2022 13:02:01,California,Pharmaceutical (including “big pharma”),NA,Public,50-200,Scientist II,PhD or Equivalent,6,135000,10000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/11/2022 3:45:29,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Senior research associate,Masters or Equivalent,6,115,5,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/11/2022 6:17:32,"Canada, Ottawa",Academia/Research,NA,Academia/College/Universities,50-200,Lab Technician,Associate’s Degree or Equivalent,2,45000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/11/2022 10:33:29,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Scientist,PhD or Equivalent,0,110000,15%,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/11/2022 17:00:37,Boston,Pharmaceutical (including “big pharma”),NA,Private,1000-5000,Associate Director,PhD or Equivalent,12,180000,36000,Not Applicable/None,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/11/2022 17:13:59,Philadelphia metro,Pharmaceutical (including “big pharma”),Catalent,Public,5000+,QA Inspector,Bachelors or Equivalent,0,50000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/11/2022 19:57:36,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Research Associate III,Bachelors or Equivalent,3,99000,9900,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/13/2022 0:37:38,Denver,Pharmaceutical (including “big pharma”),NA,Private,1-50,Senior Scientist,PhD or Equivalent,7,110000,11000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/13/2022 19:00:08,DC area,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Manager,Bachelors or Equivalent,7,125000,75000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/13/2022 20:43:10,San Francisco,Pharmaceutical (including “big pharma”),NA,Private,1-50,Senior Research Associate II,Bachelors or Equivalent,7,110000,Not Applicable/None,Not Applicable/None,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/13/2022 23:36:32,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Scientist,PhD or Equivalent,3,104000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2022 17:48:40,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Principal Research Associate,Masters or Equivalent,3,100000,3000,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2022 20:49:10,Ireland,Pharmaceutical (including “big pharma”),BioMarin,Public,1000-5000,Biotechnician,Bachelors or Equivalent,3,53000,Between 10-14%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/16/2022 3:11:38,San Diego,Medical Devices,NA,Public,5000+,Senior Product Support Engineer,Masters or Equivalent,12,108000,5000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/16/2022 17:13:08,"Remote, TX, US",Pharmaceutical (including “big pharma”),Ergomed,Public,1000-5000,Project Manager,Masters or Equivalent,7,150000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/17/2022 3:23:03,Seattle,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Director,PhD or Equivalent,11,200000,50000,25000,45000,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2022 8:48:05,Boston,Pharmaceutical (including “big pharma”),Alnylam,Private,1000-5000,Associate Scientist II,Bachelors or Equivalent,1,78000,7800,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2022 17:18:05,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Sr. Director,PhD or Equivalent,15,250000,50000,Not Applicable/None,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2022 22:46:39,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Research Associate I,Bachelors or Equivalent,0,70000,7000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/20/2022 15:41:42,Bay Area,Pharmaceutical (including “big pharma”),VIR,Public,200-1000,Scientist I,PhD or Equivalent,0,130000,16250,5750,NA,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/21/2022 16:29:29,"Remote, HQ in San Diego",synthetic biology,NA,Public,200-1000,Field Application Scientist,Masters or Equivalent,7,110000,"27,750",stock options,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/21/2022 20:37:51,Chicago,Medical Devices,NA,Private,200-1000,Biomedical Engineer 1,Bachelors or Equivalent,3,70000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/21/2022 21:18:17,Boston,Medical Devices,Qiagen,Public,5000+,Lab Technician,Bachelors or Equivalent,1,43680,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/21/2022 23:10:53,Boston/Cambridge,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Research Associate I,Bachelors or Equivalent,2,77000,3850,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2022 22:16:47,Bay Area,Pharmaceutical (including “big pharma”),NA,Private,200-1000,Scientist,Bachelors or Equivalent,17,133000,20000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/24/2022 19:55:29,New Jersey,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Director,Bachelors or Equivalent,7,180000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/25/2022 7:04:10,Boston,Pharmaceutical (including “big pharma”),Verve therapeutics,Public,50-200,Senior research associate,Masters or Equivalent,2,88000,11000,16000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/25/2022 19:18:48,Bay Area,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Scientist,PhD or Equivalent,0,115000,Not Applicable/None,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/25/2022 21:15:52,DC,Academia/Research,NCBI which is under NLM-NIH-HHS,Public,200-1000,Data Engineer,Bachelors or Equivalent,0,100000,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/25/2022 23:23:47,San Diego,Medical Devices,NA,Start-up,1-50,Postdoctoral Scientist,PhD or Equivalent,5,75000,Not Applicable/None,7500,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2022 8:25:32,U.k.,Pharmaceutical (including “big pharma”),Mogrify,Private,50-200,Scientist,PhD or Equivalent,5,41200,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2022 11:48:36,New York,Pharmaceutical (including “big pharma”),Cellectis,Public,200-1000,Research Associate I,Bachelors or Equivalent,1,75000,10%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2022 9:34:01,UK,Academia/Research,University of Oxford,Academia/College/Universities,5000+,Research Assistant,Masters or Equivalent,2,31400,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2022 7:53:43,Boston,Academia/Research,NA,Subsidiary,200-1000,Scientist II,PhD or Equivalent,0,120000,15%,Not Applicable/None,10000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2022 12:31:09,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Principal Scientist,PhD or Equivalent,15,170000,Not Applicable/None,10000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2022 13:39:31,Boston,Pharmaceutical (including “big pharma”),Vertex,Private,1000-5000,Research Associate,Bachelors or Equivalent,0,83200,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2022 21:58:29,RTP,Pharmaceutical (including “big pharma”),NA,Public,50-200,Research Associate,Bachelors or Equivalent,6,110000,11000,10000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/2022 22:52:39,NY,Pharmaceutical (including “big pharma”),NA,Public,5000+,Data analyst (senior manager indep contributor),Masters or Equivalent,8,150000,27000,17000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2022 22:28:55,Bay Area,Energy,Sandia National Laboratories,Government,1000-5000,Intern,High School or Equivalent,1,72800,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2022 15:42:42,San Diego,Medical Devices,NA,Public,NA,Scientist,PhD or Equivalent,0,110000,Not Applicable/None,10000,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2022 19:03:20,Boston,Pharmaceutical (including “big pharma”),Deciphera,Public,200-1000,Clinical Trial Associate,Bachelors or Equivalent,3,100000,"10,000","8,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2022 23:00:01,Bay Area,Medical Devices,NA,Public,1000-5000,Manager,PhD or Equivalent,5,180000,15000,80000,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/2/2022 1:02:42,Seattle,Pharmaceutical (including “big pharma”),NA,Subsidiary,200-1000,Quality assurance,Bachelors or Equivalent,3,60500,7000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/4/2022 8:41:19,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr director,Bachelors or Equivalent,10,300000,100000,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/4/2022 12:27:23,San Diego,Pharmaceutical (including “big pharma”),NA,Private,5000+,Senior Principal Scientist,PhD or Equivalent,11,184000,20%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/6/2022 12:45:35,"Houston, TX",Pharmaceutical (including “big pharma”),Lonza,Public,200-1000,Research Associate,Bachelors or Equivalent,4,78000,5000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/6/2022 22:48:26,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,50-200,Sr. Scientist,Bachelors or Equivalent,6,117000,11700,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2022 14:01:53,Los Angeles,Pharmaceutical (including “big pharma”),NA,Private,200-1000,Quality Assurance Specialist II,Bachelors or Equivalent,11,91734,9173,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2022 17:24:28,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,50-200,Research Associate II,Masters or Equivalent,3,77000,3850,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/9/2022 2:26:21,San Diego,Academia/Research,NA,Start-up,1-50,Scientist I,PhD or Equivalent,2,120000,20000,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/9/2022 19:10:33,"Durham, NC",Pharmaceutical (including “big pharma”),Merck,Public,5000+,Quality Specialist II,Bachelors or Equivalent,4,80000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/9/2022 19:11:12,RTP,Pharmaceutical (including “big pharma”),Biogen,Public,1000-5000,Quality Associate II,Bachelors or Equivalent,4,61000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2022 17:02:20,"Philadelphia, PA",Pharmaceutical (including “big pharma”),NA,Private,5000+,Sr. Engineer,Bachelors or Equivalent,10,115000,15000,Not Applicable/None,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2022 19:15:58,Canada,Pharmaceutical (including “big pharma”),NA,Private,1000-5000,Business development manager,Masters or Equivalent,8,120000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2022 19:25:06,Los Angeles,Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Scientist,PhD or Equivalent,3,125000,18000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2022 21:53:08,Bay Area,Medical Devices,NA,Private,1-50,Research Associate 1,Bachelors or Equivalent,3,80000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/12/2022 22:27:26,"Raleigh, NC",Pharmaceutical (including “big pharma”),BioAgilytix,Private,1000-5000,Accessioning Supervisor,High School or Equivalent,8,90000,"$13,500",Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/13/2022 1:20:38,"Boulder, CO",Pharmaceutical (including “big pharma”),NA,Public,50-200,Associate Director,PhD or Equivalent,14,185000,28000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/14/2022 22:11:48,San Diego,Pharmaceutical (including “big pharma”),Ionis,Public,200-1000,Senior Scientist,PhD or Equivalent,5,121000,15000,10000,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/14/2022 23:26:46,Boston,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Private,5000+,"Specialist, Assistant Manufacturing Engineer",Bachelors or Equivalent,1,83230,2469,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2022 0:06:28,Seattle,Cell therapy,NA,Public,1000-5000,Manager Quality Assurance,Masters or Equivalent,20,122000,14000,15000,25000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2022 14:19:15,Los Angeles,Pharmaceutical (including “big pharma”),NA,Subsidiary,1000-5000,QA Specialist I,Bachelors or Equivalent,4,95000,7000,Not Applicable/None,8000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2022 18:45:36,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,St. Scientist,PhD or Equivalent,4,145000,15%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/16/2022 1:33:47,San Francisco ca,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Facilities technician,Associate’s Degree or Equivalent,1,70000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/16/2022 1:34:02,San Francisco ca,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Facilities technician,Associate’s Degree or Equivalent,1,70000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2022 17:09:21,Dundee,Pharmaceutical (including “big pharma”),NA,Private,1-50,Senior Scientist,PhD or Equivalent,3,45000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2022 17:33:49,Bay area,Academia/Research,NA,Public,50-200,Senior research associate,Masters or Equivalent,6,94000,6000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2022 21:00:40,Indianapolis,Pharmaceutical (including “big pharma”),Eli Lilly and Company,Public,5000+,Principal Scientist,Masters or Equivalent,5,95000,10000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2022 21:13:46,"Houston, TX",Pharmaceutical (including “big pharma”),NA,Public,200-1000,Associates Principal Scientist,PhD or Equivalent,6,130000,15000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2022 21:18:47,Boston,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist II,PhD or Equivalent,7,130000,15%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2022 21:42:40,"Seattle, WA",Pharmaceutical (including “big pharma”),Just - Evotec,Subsidiary,50-200,Process Engineer 1,Bachelors or Equivalent,0,70000,3500,Not Applicable/None,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2022 23:15:06,New Jersey,Medical Devices,NA,Public,1000-5000,Sr. Scientist,PhD or Equivalent,4,110000,10000,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2022 8:07:59,Austria,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Scientist,Masters or Equivalent,4,59000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2022 11:01:32,Boston,Medical Devices,NA,Start-up,50-200,Research Associate II,Bachelors or Equivalent,1,65000,Not Applicable/None,Not Applicable/None,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2022 13:11:00,"Austin, TX",Pharmaceutical (including “big pharma”),Xbiotech,Public,50-200,QC Analyst,Bachelors or Equivalent,2,51000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2022 15:44:04,"RTP, North Carolina",Pharmaceutical (including “big pharma”),BioAgilytix,Private,1000-5000,Analyst II,Masters or Equivalent,1,62400,10%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2022 22:43:58,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Director,PhD or Equivalent,15,210000,42000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2022 23:39:31,Boston,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist II,PhD or Equivalent,0,125000,15%,Not Applicable/None,20000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2022 15:38:05,Maryland,Pharmaceutical (including “big pharma”),NA,Public,50-200,Associate Principal Scientist,PhD or Equivalent,10,135000,20%,"$10,000",NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/21/2022 19:47:39,New York City,Pharmaceutical (including “big pharma”),Preclinical startup - CNS & rare disease,Public,1-50,"Senior Director, Corporate Communications",Bachelors or Equivalent,14,235000,50000,Not Applicable/None,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/22/2022 19:24:14,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,50-200,Research Associate II,Bachelors or Equivalent,2,85000,8.5k,Not Applicable/None,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/23/2022 19:54:30,"Cambridge, MA",Pharmaceutical (including “big pharma”),NA,Private,50-200,Associate Scientist,Bachelors or Equivalent,6,101000,12620,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2022 16:33:27,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Senior Research Associate,Bachelors or Equivalent,3,85000,8500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/26/2022 22:11:14,"Research Triangle, NC",Pharmaceutical (including “big pharma”),Xilis,Start-up,50-200,Lab Technologist,Masters or Equivalent,0,46400,Not Applicable/None,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/8/2022 15:22:23,Boston,diagnostics,NA,Public,1000-5000,research associate,Bachelors or Equivalent,4,73000,7%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/8/2022 16:43:49,San Diego,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Associate Director,PhD or Equivalent,15,185000,41625,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/8/2022 18:56:17,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Research Associate I,Bachelors or Equivalent,0,65000,5%,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/8/2022 20:00:58,Remote,Pharmaceutical (including “big pharma”),NA,Private,50-200,Validation Engineering Manager,Bachelors or Equivalent,4,110000,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
